 id;name;price;ref
102;Рис с овощами;180;https://pp.userapi.com/c847216/v847216355/4e0a3/uk9wt7WHfNg.jpg
103;Рис с овощами и лососем;280;https://pp.userapi.com/c847216/v847216355/4e09a/NqacaZVLgeY.jpg
104;Рис с овощами и филе нежного ягненка;210;https://pp.userapi.com/c847216/v847216355/4e088/avr-m977k7I.jpg
105;Рис с овощами и креветками;280;https://pp.userapi.com/c847216/v847216355/4e07f/TXzTdwnYtxo.jpg
106;Яичная лапша с овощами;180;https://pp.userapi.com/c846123/v846123912/3dfde/BUXRm61fie4.jpg
107;Яичная лапша с овощами и курицей;210;https://pp.userapi.com/c846123/v846123912/3dfd5/MYAE-v8TGFI.jpg
108;Яичная лапша с овощами и лососем;280;https://pp.userapi.com/c846123/v846123912/3dfcc/XCeCZAoyLEM.jpg
109;Яичная лапша с овощами и креветками;280;https://pp.userapi.com/c846123/v846123912/3dfc3/_EhTS-enXUQ.jpg
110;Удон с овощами;180;https://pp.userapi.com/c846123/v846123912/3dfba/pwT4HWoQfk0.jpg
111;Удон с овощами и курицей;210;https://pp.userapi.com/c846123/v846123912/3dfb1/DhHbEqE4HPs.jpg
112;Удон с овощами и лососесм;280;https://pp.userapi.com/c846123/v846123912/3dfa8/uMin44q3SYk.jpg
113;Удон с овощами и креветками;280;https://pp.userapi.com/c846123/v846123912/3df9f/CpQsqYwIpfk.jpg
114;Соба с овощами;180;https://pp.userapi.com/c846123/v846123912/3df92/Ou7oL9DEGqY.jpg
115; Соба с овощами и курицей;210;https://pp.userapi.com/c846123/v846123912/3df89/ViZr2pv71No.jpg
116;Соба с овощами и лососем;280;https://pp.userapi.com/c846123/v846123912/3df80/S-K1uMTuUg8.jpg
117;Соба с овощами и креветками;280;https://pp.userapi.com/c846123/v846123912/3df6e/Wya_x_v1s8A.jpg
