 id;name;price;ref
91;Охотничья;390;https://pp.userapi.com/c847020/v847020440/73c21/JCrWGrUfUWw.jpg
92;Салями;350;https://pp.userapi.com/c834400/v834400440/1613b3/79jHIO8WbJY.jpg
93;Пеперони;350;https://pp.userapi.com/c846524/v846524873/40d9b/3d-cgjjr3e4.jpg
94;4 сыра;390;https://sun1-17.userapi.com/c830709/v830709203/d8f32/ne9fSD9B9n8.jpg
95;С семгой;440;https://pp.userapi.com/c836438/v836438700/33ba4/PrZhw5enqtg.jpg
96;С беконом и ветчиной;390;https://pp.userapi.com/c836438/v836438700/33b9b/8I29zVA5GvE.jpg
97;Черри с беконом;390;https://pp.userapi.com/c836220/v836220700/27002/wjoHh2Wr7_E.jpg
98;Рамирез;500;https://pp.userapi.com/c836220/v836220700/26fdf/-5eVkAczxbc.jpg
99;С курицей и грибами;380;https://pp.userapi.com/c836220/v836220700/26f4a/JQidyKViE0Q.jpg
100;Маргарита;290;https://pp.userapi.com/c836220/v836220700/26f38/QaDEZUGwenc.jpg
101;Гавайская;370;https://pp.userapi.com/c836220/v836220700/26f26/bhKUhKvGNcM.jpg
