 id;name;price;ref
1;Суши с креветкой;80;https://pp.userapi.com/c824411/v824411412/834c0/5GIo8YoZy1w.jpg
2;Суши с лососем;65;https://pp.userapi.com/c824411/v824411412/834c9/pGHMC2ApICo.jpg
3;Суши с окунем;70;https://pp.userapi.com/c824411/v824411412/834d2/AUIuNrDPv1g.jpg
4;Суши с угрем ;80;https://pp.userapi.com/c824411/v824411412/834db/5EOWcjO3qOk.jpg
5;Суши спайси с беконом ;60;https://pp.userapi.com/c840632/v840632321/44b1b/bAUsAAVCmzY.jpg
6;Суши спайси с креветками;70;https://pp.userapi.com/c840632/v840632321/44b24/un-0NmrFy4A.jpg
7;Суши спайси с курицей ;60;https://pp.userapi.com/c840632/v840632321/44b2d/4XknSM-jVfk.jpg
8;Суши спайси с лососем;70;https://pp.userapi.com/c840632/v840632321/44b36/Iccs4aismn4.jpg
9;Суши с икрой тобико;70;https://pp.userapi.com/c840632/v840632321/44b09/9bgN6rPELYM.jpg
10;Суши спайси с лососем и окунем;45;https://pp.userapi.com/c840632/v840632321/44b12/SuE5US6fGNY.jpg
11;Суши с чукой;100;https://pp.userapi.com/c841624/v841624321/59afc/rgS1m84nBxI.jpg
12;Суши с лососем и икрой;90;https://pp.userapi.com/c841624/v841624321/59b05/kuliMIyOhVU.jpg
